,comment,url_id,label,predict,filtered
62,템차이는 개바름,62,1,1,0
71,당명지 넘 재수없어,57,1,0,0
99,애미애비애미애비애미애비애미,31,1,1,1
101,가혐 ㄷㄷ,18,1,0,0
119,미쳤습니까 휴먼,72,1,1,0
129,줮도 할줄 모르면 제발 다른거하자 씨1발하,35,1,1,1
132,븅_신 분노조절장애 세_끼,34,1,1,0
171,님의 귓속말: 엿드세요,38,1,0,0
180,나한테 아즈얼라 흥했다고 한 놈 죽여야겠다,53,1,1,0
188,미애 또 욕함ㅊ,40,1,1,0
191,인육치킨이 사실이었나 보네요 브베형,36,1,1,0
207,ㅈ망,55,1,1,0
210,미 쳤 다,16,1,1,0
229,타락햇네 머리가없자나!!,56,1,1,0
247,찍!!,24,1,0,0
256,게임이 조졌는데,14,1,1,0
258,POE도 똥손이라 우엘한테 털리고 다녀서 현타옴ㅠㅠ,22,1,1,0
286,눈깔어 ㅋㅋ,52,1,1,1
305,개따까팬다 ㅋ,75,1,1,0
327,개웃곀ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,55,1,1,0
334,조시다,75,1,1,0
349,면 상 바 주 카,12,1,0,0
353,저기먹으면 개꿀뭔가나오겟다,56,1,1,0
393,가챠겜 극혐;,56,1,0,1
397,먹다 죽지 않을까요,75,1,0,0
410,미친,77,1,1,0
437,와 그냥 개손해 보는거였는데,11,1,1,0
479,ㅈ냥이,17,1,1,0
500,미치겠다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,59,1,1,0
520,때려박아버려,56,1,1,0
523,브베형 제발 탭키 눌러서 지도확대해서 게임하자 제발좀 암걸리게써,35,1,0,0
533,ㅇㅅㅄㅋㅋㅋㅋㅋㅋㅋ,18,1,1,1
536,지랄하네 장애인이라서 공익이였으면서 미친련,31,1,1,1
541,그꼬라지 나는거임,77,1,1,1
543,뽕 오지네,14,1,0,1
569,미애 브라 뺏으라감ㅋㅋ,36,1,1,0
574,아 전자발찌가 그거임?,38,1,0,0
586,혐패맨,17,1,1,0
605,망가,76,1,1,0
610,창석아 아이작도 18금 게임이라고 채팅 안보는거 맞잖아,40,1,1,0
612,이틀치욕먹어야지,40,1,1,0
613,똑같은 흑인이자너,25,1,1,0
652,풀어서 0점 맞는거 개어렵긴 하지,18,1,1,0
678,오빠 밟아,12,1,0,0
700,베인죽으면 딜없음 ㅋㅋㅋ,17,1,1,0
709,개귀엽누 ㅋㅋㅋ,17,1,1,0
739,극혐이면 좋은거 아닌가요,18,1,1,1
767,형님 또 죽겠습니다,12,1,0,0
778,에반데,18,1,1,0
781,ㅁㅅㄲ,77,1,0,0
796,교미볼려고왔는데,57,1,0,0
854,사일 리치베인가면 겁나쌤,12,1,1,0
858,벌레야 ㅋㅋㅋㅋㅋㅋ,11,1,0,0
863,ㅁㅊ ㅋㅋㄲ,72,1,1,1
881,사망,17,1,1,0
883,ㅈ냥이,16,1,1,0
936,말라죽는다,14,1,1,0
939,서른안 지리네,55,1,1,0
941,개무셔,55,1,1,0
983,미친 독재자새끼,38,1,1,1
985,에반데,55,1,1,0
986,얘바얘,55,1,1,0
999,ㅠㅠ늙병쌍,77,1,0,0
1008,뇌절의 연속 대환장 비빔밥파티,15,1,1,0
1039,졸ㅡ렬,14,1,1,0
1041,브베야 유튜브 영상안올리냐 ? 확 맞을래 ?,40,1,0,0
1043,죽통날아가도 인정입니다 허허,74,1,0,0
1060,애들아 그냥 여기서 우리끼리 ㅈ목할래?,31,1,1,0
1075,빅혐,18,1,1,0
1115,브베야 부모님이 맨날 약속 안지키라고 교육시켜 주시디???,38,1,1,0
1121,당신이 쥭였어,56,1,1,0
1122,개똥같은소리하네,74,1,1,0
1133,병신맞음,39,1,1,1
1138,뇌절케넨,59,1,1,0
1165,와 개무섭다,52,1,1,0
1205,탑신병자 챔프들이라,12,1,1,0
1211,아니 개가튼겜 진짜 뭐야 이게 ㅋㅋㅋㅋ,52,1,0,0
1240,더럽게 못부르샤,31,1,1,0
1259,쬭쬭쬭 빨릴거같은데,75,1,1,0
1263,돌대가리새끼,39,1,1,1
1271,지렸다,14,1,1,0
1288,누나 나죽어,11,1,1,0
1298,역겹 ㅋㅋㅋㅋ,14,1,0,0
1317,면상앞 ㅋㅋ,52,1,0,0
1340,쫄?,77,1,1,0
1342,저정도면 조카 쌉가능인데,12,1,1,1
1370,병신이라고우리가?,31,1,1,1
1378,브베님 어제 신음소리 창석이 어머니 줘패는 소리인가요? 해명해주세요,38,1,1,0
1405,조이 개고수,20,1,1,0
1420,아니 창석이형 진짜 나 개 무시하지말고 스타듀벨리말고 다른거하라고 답답하니까,35,1,1,0
1450,뇌절해버렸다,59,1,1,0
1469,xx 마이 무,74,1,0,0
1483,오쓰레기매너,17,1,1,1
1511,싹뚝이 이새끼는 뭐 하는 새끼임?,35,1,1,1
1529,미친색기가 뭐래,34,1,0,1
1556,이제 엔카오면 ㅈ땜,52,1,1,0
1566,개추하게 죽음 ㅋㅋㅋ,27,1,1,0
1571,너 연기 소름끼친다,34,1,1,0
1579,아 네 하여간 창스기 자식,32,1,1,0
1596,빠따준비행,18,1,1,0
1597,그냥 방송을꺼 돈에 환장한 놈아,34,1,1,0
1600,조졌다,51,1,1,0
1650,젓가락으로 목구멍 쑤셔서 자살해라빨리,32,1,1,0
1652,정말 패죽이고 싶겠네요 허허,76,1,1,0
1668,새ㅔㄱ스,16,1,0,0
1679,진짜 창석이형 스타듀벨리하는거 보면 암걸려 뒤져버릴꺼같으니까 제발 다른거해,35,1,1,1
1682,한달 먹고 위 녹아서 죽음,75,1,1,0
1723,개쩐닼ㅋㅋㅋㅋㅋㅋㅋㅋ,52,1,1,0
1724,야매였다고한다,15,1,0,0
1727,짐: ㅗ,77,1,1,0
1732,gay,13,1,1,0
1749,연기는 ㄹㅇ 개잘하네 ㅋㅋㅋ,57,1,1,0
1772,표정 미쳤네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,51,1,1,0
1778,40살 영계,51,1,0,0
1781,애ㅔ에미,55,1,0,0
1786,ㅈ냥이,17,1,1,0
1787,ㅇㅅㅂㅅ,14,1,1,1
1810,낮혐석 on,12,1,1,1
1865,드라군 오는데 마린 쳐 뽑고있네 ㅋㅋㅋ,72,1,0,0
1892,어꿍이 극혐이다,31,1,1,1
1897,여동생이 찾아갔을 아내의 방은 남자가 자고있을 방아닐까,57,1,1,0
1941,파벳 졸 커보이네 ㅋ,15,1,0,0
1954,아이유 멸시 스트리머,55,1,0,0
1964,<<<<일주일전에 악마한테 기도한분,63,1,1,0
1966,크큭 흑화해버리겠어,56,1,1,0
1979,엉덩이쪽 기둥 ㅗㅜㅑ,12,1,1,0
1984,도코니 목소리 너무 요염해,52,1,1,0
1989,?? 초월급 스킨도 그따윈데 뭐가 나왔길래,65,1,1,0
2012,형이 죽였어,55,1,1,0
2021,안식처에서 죽네??,19,1,1,0
2066,본인이 죽겟,53,1,1,0
2094,불륜하자?,57,1,0,0
2098,나 브베 자쥐 빨고 싶어 헥헥 나 강간해됴~♡♡하흥,32,1,1,0
2175,마약이 참,74,1,1,0
2219,눈깔,12,1,1,1
2272,사람들 피가 ㅋㅋㅋㅋㅋㅋ,65,1,0,0
2291,개 이 득,12,1,1,0
2303,인육 치킨 만드는 과정이네 실제로,38,1,0,0
2332,자살엔딩,55,1,0,0
2359,닥쳐시밸름아,32,1,1,0
2368,아프읍읍 늦게킨다더니 이지랄하고있네 쓰렉새끼,39,1,1,1
2379,형냐 나 죽어,12,1,1,0
2415,시발련아 빨리 처먹기나해,34,1,1,1
2439,팀운 망겜,15,1,1,0
2484,브자베지 진심 내가 봤는데 5센티임 ㅇㄱㄹㅇ,38,1,0,0
2493,똥꼬핥은 혀,75,1,1,0
2510,개웃기네,11,1,1,0
2523,똥챔조무사,18,1,1,0
2568,CurseLit,18,1,0,0
2571,눈알 못ㄲ어 이걸?,12,1,1,0
2628,와 미쳤다,14,1,0,0
2635,와 방금 개존잘,39,1,1,1
2715,브베님 뇌성마비인가요 아닌가요?,35,1,0,0
2744,븅_신 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,34,1,1,0
2782,저새끼 살인미수야,36,1,1,1
2786,ㅇㅇㅇ 전화안받아 ㅂㅅ들아,34,1,1,0
2811,뇌절 파티,16,1,1,0
2830,미친,12,1,1,0
2841,사망선언,75,1,1,0
2882,쌍베고추3츠,72,1,0,0
2909,ㅅㅅㅂ 노무 야한데,14,1,1,1
2915,진짜 창석이형 스타듀벨리하는거 보면 암걸려 뒤져버릴꺼같으니까 제발 다른거해,35,1,1,1
2918,아니 창석이형 진짜 나 개 무시하지말고 스타듀벨리말고 다른거하라고 답답하니까,35,1,1,0
2925,ㅁㅊ 오늘은 진짜 이거다,32,1,1,1
2927,미친 ㅋㅋㅋ,72,1,1,0
2931,안뒤져 ㄷㄷ,65,1,0,0
2940,다시 봐도 지리네,12,1,1,0
2947,개이득,72,1,1,0
2969,개머싯다,14,1,1,0
